,to_be_visited_url
0,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore
1,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/visit
2,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore/academics/global-education
3,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore/student-life/living-at-caltech
4,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/first-year-freshman-applicants
5,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore/academics
6,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/admin/login/
7,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore/about-caltech
8,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore/academics/core-curriculum
9,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/blog
10,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore/student-life/clubs-activities
11,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/first-year-freshman-applicants/application-requirements
12,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/transfer-applicants/entrance-examinations
13,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/32-program/3-2-program-faq
14,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore/student-life/traditions-pranks
15,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/first-year-freshman-applicants/holistic-review
16,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore/academics/first-year
17,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/first-year-freshman-applicants/international-citizens
18,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/first-year-freshman-applicants/academic-preparation
19,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/transfer-applicants/deadlines
20,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore/academics/research
21,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore/life-after-caltech
22,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/inquire
23,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore/student-life/dining-at-caltech
24,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/transfer-applicants/transfer-application-fee-and-waiver
25,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore/academics/advising
26,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/32-program
27,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore/life-after-caltech/notable-alumni
28,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore/academics/majors-minors
29,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore/honor-code
30,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/first-year-freshman-applicants/first-year-application-fee-and-waiver
31,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply
32,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/first-year-freshman-applicants/class-profile
33,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore/news-events
34,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore/academics/cross-registration
35,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/transfer-applicants/application-requirements
36,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/afford
37,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/transfer-applicants/academic-preparation
38,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/first-year-freshman-applicants/teacher-evaluations
39,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/first-year-freshman-applicants/homeschooled-applicants
40,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore/student-life
41,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/
42,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/32-program/3-2-program-application
43,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/inquire/regional-admissions-counselors
44,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/first-year-freshman-applicants/supplemental-application-essays
45,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/first-year-freshman-applicants/standardized-tests
46,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/explore/student-life/diversity
47,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/transfer-applicants
48,https://www.admissions.caltech.edu/apply/first-year-freshman-applicants/application-requirements/apply/first-year-freshman-applicants/deadlines
